strike,moneyness,bid,ask,mid,premium_cost,hedge_cost_percent,sigma,lsmc_price,binomial_price,var_95_reduction,cvar_95_reduction,var_99_reduction,cvar_99_reduction,cvar_95_saved_per_premium_dollar,cvar_99_saved_per_premium_dollar,protection_score,cost_score,balanced_score,pareto_efficient
692.0,0.9006077858290914,4.63,4.66,4.645,466.0,0.606478653462943,0.218329352693299,4.665532750885993,4.651243623945437,12.961254617643686,16.43161756040396,17.73380205532321,20.493434256299302,1.7546905839538247,2.8379645914532152,0.0,1.0,0.5,True
711.0,0.9253354562492543,6.22,6.24,6.23,624.0,0.8121087548516661,0.19853118765415026,6.334171237299416,6.229004333218653,19.442981406422806,23.855976747898026,25.56400685446662,28.967330567504202,1.9024741174871247,2.995725609916697,0.16513520857912078,0.8820895522388059,0.5236123804089634,True
730.0,0.9500631266694172,8.57,8.61,8.59,861.0,1.120553906934751,0.1794639386268434,8.630881102570749,8.592141350315176,29.081086326777083,34.38356924167289,36.449375018241696,40.439192740968046,1.9872566081564975,3.0309409296974663,0.3886933314583129,0.7052238805970148,0.5469586060276639,True
749.0,0.9747907970895802,12.23,12.27,12.25,1227.0,1.5968869266073629,0.16149419227321724,12.40831956973775,12.25371696542589,42.598521047658856,48.53980820127033,50.932113176793216,55.125986260711834,1.9686097745808377,2.8992786416296807,0.6749024874559412,0.43208955223880585,0.5534960198473735,True
768.0,0.999518467509743,18.0,18.06,18.03,1805.9999999999998,2.35043014625338,0.14524978203814248,18.32909248102104,18.032533219425616,60.11093093581501,65.75115677857642,68.13588067379753,71.80833181277542,1.8117229919535192,2.565873480459352,1.0,0.0,0.5,True
