portfolio,initial_value,var_95,cvar_95,var_99,cvar_99
SPY only,76836.99951171875,0.05143519940764788,0.06476431055484343,0.0728608318403391,0.08398616466495863
SPY + put,78190.49068510707,0.02916791105249826,0.033088286425743484,0.035610602745309375,0.03769359328685053
risk reduction %,,43.29192578543539,48.90969093583756,51.125176798223556,55.119282518472545
