portfolio,initial_value,n_scenarios,mean_horizon_value,mean_loss,std_loss,min_loss,max_loss,mean_percent_loss,std_percent_loss,worst_percent_loss,probability_of_loss
SPY only,76836.99951171875,50000,77180.87705581126,-343.87754409249635,2658.3634722261118,-11732.491887038646,9660.037769062154,-0.004475416092218048,0.03459743989379326,0.12572117378931302,0.45638
SPY + put,78190.49068510707,50000,78452.00224338319,-261.5115582761239,1843.690561026135,-10390.602867616515,3279.402434568139,-0.0033445442787831733,0.023579472962398255,0.04194119266721479,0.49904
