model,scope,n,mae,rmse,bias,median_abs_pct_error,max_abs_error,n_for_percentage
crr,overall,11,0.01876180315021517,0.02635923641223185,-0.012064176947427896,0.11231777718868474,0.05353506770817518,11
crr,73d,11,0.01876180315021517,0.02635923641223185,-0.012064176947427896,0.11231777718868474,0.05353506770817518,11
lsmc,overall,11,0.07240622554087289,0.0985154229435094,-0.03985823991673542,0.4133776434306886,0.23107112566838595,11
lsmc,73d,11,0.07240622554087289,0.0985154229435094,-0.03985823991673542,0.4133776434306886,0.23107112566838595,11
