portfolio,initial_value,var_95,cvar_95,var_99,cvar_99
SPY only,76836.99951171875,3952.126391770597,4976.2952984793055,5598.407700539558,6453.244893352557
SPY + put,78190.49068510707,2280.6532774543966,2587.1893515582506,2784.410502248161,2947.280554783701
risk reduction %,,42.29300757679872,48.009730203332914,50.26424206333155,54.32870434190906
