category,description,strike,moneyness,ask,premium_cost,hedge_cost_percent,var_99_reduction,cvar_99_reduction,cvar_99_saved_per_premium_dollar,balanced_score,pareto_efficient,protection_weight,cost_weight
cheapest,Cheapest hedge (lowest premium),692.0,0.9006077858290914,4.66,466.0,0.606478653462943,17.73380205532321,20.493434256299302,2.8379645914532152,0.5,True,0.5,0.5
strongest,Strongest protection (max 99% CVaR reduction),768.0,0.999518467509743,18.06,1805.9999999999998,2.35043014625338,68.13588067379753,71.80833181277542,2.565873480459352,0.5,True,0.5,0.5
most_efficient,Best efficiency (max 99% CVaR saved per $1),730.0,0.9500631266694172,8.61,861.0,1.120553906934751,36.449375018241696,40.439192740968046,3.0309409296974663,0.5469586060276639,True,0.5,0.5
balanced,Balanced hedge (weighted score),749.0,0.9747907970895802,12.27,1227.0,1.5968869266073629,50.932113176793216,55.125986260711834,2.8992786416296807,0.5534960198473735,True,0.5,0.5
