label,n,mean,std,skewness,excess_kurtosis,min,p01,p05,p95,p99,max
observed daily,1254,0.0004460622380152447,0.010844385723500317,0.14785000903643633,7.770119952720558,-0.06032657327600788,-0.029728334760984375,-0.016843466629324455,0.01664568312034,0.025658498448273327,0.09986280254486068
GBM as published,50000,0.0038726188715521594,0.03443327201675177,4.206412995699793e-17,-0.015968210881028178,-0.1343559310793025,-0.07565159722548706,-0.05280517292061511,0.06055041066371938,0.08339683496859153,0.1421011688224068
GBM drift matched,50000,0.004460622380152448,0.03443327201675177,-8.526512829121201e-18,-0.015968210881027733,-0.13376792757070222,-0.07506359371688687,-0.05221716941201483,0.06113841417231967,0.08398483847719186,0.14268917233100706
bootstrap,50000,0.004629121605549732,0.03423952356734168,0.014179238953688991,0.6829164370151504,-0.1550869708256224,-0.07899500968856332,-0.05190321506933406,0.05904349727171556,0.08800678812552128,0.21022855776880434
