spacing,n_contracts,n_calibration,n_heldout,mean_calibration_gap,crr_mae,crr_rmse,crr_max_abs_error,lsmc_mae,lsmc_rmse,lsmc_std_error_mean
2.0,67,56,11,2.0,0.02176777885613923,0.032408133637810366,0.09369481817766712,0.07667928064706193,0.10038319548261776,0.1387254834721709
5.0,34,23,11,5.0,0.02070627790497983,0.03127195811838225,0.0873823125752935,0.07299617385508701,0.10129546301318591,0.13873402296754286
10.0,23,12,11,10.0,0.01876180315021517,0.02635923641223185,0.05353506770817518,0.07240622554087289,0.0985154229435094,0.13882171223747217
20.0,18,7,11,20.0,0.027349436466310596,0.034182278096659816,0.06115621464021359,0.08848837211559189,0.1137011811569373,0.13874012542744163
40.0,15,4,11,40.0,0.05605233452281653,0.0708746264051511,0.14537690313315466,0.06087260787439144,0.07572018978553716,0.13864450018804567
