method,max_absolute_error,mean_absolute_error,max_relative_error,mean_relative_error,n_points_for_relative,bias,stage
linear,0.05940296942816303,0.008334751523428108,0.03168881098445658,0.0055074094600906925,12,0.008334751523428108,a_interpolation_only
cubic,0.0010691863635869936,0.00020505516563644325,0.002122656867819999,0.00023468929136432487,12,1.0244949053923982e-05,a_interpolation_only
pchip,0.0033297542533432534,0.00042865869838708693,0.0008448062965859685,0.00014700690678912584,12,0.0003221481020370587,a_interpolation_only
linear,0.05355627347030989,0.008359355823474,0.0737781240930698,0.010005560175081855,12,-0.0018257459502376832,c_total_vs_binomial
cubic,0.05685821637284505,0.010605271058101872,0.03948034298726557,0.004645549255403683,12,-0.009748589401069246,c_total_vs_binomial
pchip,0.05701807631135125,0.010663554030604289,0.042617808256857445,0.004997760972091291,12,-0.00970191825438857,c_total_vs_binomial
