n_steps,n_replications,mean_price,std_price,bermudan_benchmark,american_benchmark,mc_error_vs_bermudan,discretisation_error,total_error_vs_american,rmse,mean_runtime_sec,mean_early_exercise_fraction
10,30,13.584929770671916,0.18245833220513583,13.546315353517338,13.579869171307193,0.03861441715457836,0.03355381778985489,0.005060599364723473,0.18350044896465897,0.005425700064127644,0.16180333333333333
25,30,13.625068242245904,0.17108519003252765,13.565760141197703,13.579869171307193,0.05930810104820061,0.014109030109489495,0.04519907093871112,0.1783589686282346,0.013542083371430636,0.20492666666666667
50,30,13.610526840418629,0.18378395784860352,13.572688673336971,13.579869171307193,0.03783816708165766,0.007180497970221467,0.030657669111436192,0.184614152432887,0.027289433342715105,0.21902333333333335
100,30,13.639867042785802,0.17249081898439347,13.576192971133741,13.579869171307193,0.06367407165206096,0.0036762001734516048,0.059997871478609355,0.1811510436446009,0.05357509336123864,0.2302966666666667
