method,max_absolute_error,mean_absolute_error,max_relative_error,mean_relative_error,n_points_for_relative,bias,strike
pchip,0.007252419382961506,0.0017936224223060434,0.007150234266707261,0.0019820011362385458,11,-0.00024177794921802727,692.0
pchip,0.01929911374884341,0.0023084455459590433,0.0007324563149322417,0.00019857354314173527,10,0.002156222734284639,711.0
pchip,0.008297181865974945,0.0015606787993586964,0.01092202972889843,0.0014354833137750595,12,-0.00046313687579885624,730.0
pchip,0.014974702841882959,0.001468972597674728,0.0030671898406273387,0.0007428528718141249,9,0.0008839563269103082,749.0
pchip,0.01655050310354511,0.0037342010021802546,0.0017745259214022805,0.0002635416171297981,13,-0.0010783168918221456,768.0
