n_paths,n_replications,mean_price,std_price,mean_reported_std_error,bias,mean_absolute_error,rmse,relative_rmse,mean_runtime_sec,mean_early_exercise_fraction,benchmark
1000,30,14.087592008803805,0.5048021720755977,0.706690123784273,0.5077228374966125,0.5601522038566796,0.710009533891467,0.05228397453133356,0.005279576685279608,0.25560000000000005,13.579869171307193
5000,30,13.744238918820912,0.27597349370280805,0.31144194352112936,0.16436974751371813,0.26893578112052546,0.31723819255680136,0.023360916703607987,0.01520532666084667,0.22091999999999998,13.579869171307193
10000,30,13.610526840418629,0.18378395784860352,0.21723432545543434,0.030657669111433115,0.15406784463383924,0.18327725190475808,0.013496245773265862,0.026906196571265657,0.21902333333333335,13.579869171307193
25000,30,13.587000365646471,0.0983304231009247,0.1371538636198564,0.007131194339280178,0.07908372790827922,0.0969403440421198,0.007138532987265029,0.06329206673738857,0.2145693333333333,13.579869171307193
50000,30,13.567565536117302,0.06950969994319074,0.09696559716714186,-0.012303635189893865,0.05838064272055903,0.06944007881287764,0.0051134571281140975,0.12696414996559421,0.2118226666666667,13.579869171307193
