target_moneyness,strike,moneyness,contract_symbol,expiry,days_to_expiry,bid,ask,mid,last_price,quoted_iv,price_source,volume,open_interest,as_of,sigma,lsmc_price,lsmc_std_error,binomial_price,lsmc_minus_binomial,abs_error_vs_binomial,rel_error_vs_binomial,early_exercise_premium,early_exercise_fraction,market_mid,market_ask,premium_cost,hedge_cost_percent,initial_value,scenarios_outside_grid,fraction_outside_grid,var_95_dollars,var_95_percent,var_95_reduction,var_95_reduction_pct_basis,var_95_dollars_saved,var_95_saved_per_premium_dollar,cvar_95_dollars,cvar_95_percent,cvar_95_reduction,cvar_95_reduction_pct_basis,cvar_95_dollars_saved,cvar_95_saved_per_premium_dollar,var_99_dollars,var_99_percent,var_99_reduction,var_99_reduction_pct_basis,var_99_dollars_saved,var_99_saved_per_premium_dollar,cvar_99_dollars,cvar_99_percent,cvar_99_reduction,cvar_99_reduction_pct_basis,cvar_99_dollars_saved,cvar_99_saved_per_premium_dollar,worse_than_unhedged_fraction,grid_source,calibration_source,protection_score,cost_score,balanced_score,pareto_efficient
0.9,692.0,0.9006077858290914,SPY261030P00692000,2026-10-30,73,4.63,4.66,4.645,4.06,0.2099993551635742,mid,3.0,63.0,2026-08-18,0.218329352693299,4.665532750885993,0.14146957181364211,4.651243623945437,0.014289126940556507,0.014289126940556507,0.00307210890158355,0.04128739150944316,0.0688,4.645,4.66,466.0,0.606478653462943,77302.99951171875,0,0.0,3439.8812273221156,4.449867727061027,12.961254617643686,13.485943900134314,512.2451644484813,1.0992385503186295,4158.609486356823,5.379622411322344,16.43161756040396,16.935386708597857,817.6858121224823,1.7546905839538247,4605.597160675901,5.957850522964139,17.73380205532321,18.229721340271613,992.8105398636571,2.130494720737462,5130.753393735358,6.637198331427699,20.493434256299302,20.972717852933187,1322.4914996171983,2.8379645914532152,0.71168,cached,mid,0.0,1.0,0.5,True
0.925,711.0,0.9253354562492543,SPY261030P00711000,2026-10-30,73,6.22,6.24,6.23,5.99,0.189735885925293,mid,1.0,100.0,2026-08-18,0.19853118765415026,6.334171237299416,0.1630307391641014,6.229004333218653,0.10516690408076279,0.10516690408076279,0.01688342124276881,0.10622304133931681,0.1122,6.23,6.24,624.0,0.8121087548516661,77460.99951171875,0,0.0,3183.715192260311,4.110087931125469,19.442981406422806,20.091921904470304,768.4111995102858,1.2314282043434066,3789.1514491673397,4.891689331473311,23.855976747898026,24.469367626002096,1187.1438493119658,1.9024741174871247,4167.230372232639,5.379778725424523,25.56400685446662,26.16363841119324,1431.1773283069197,2.293553410748269,4583.912112764538,5.917703285084847,28.967330567504202,29.539546082476637,1869.332780588019,2.995725609916697,0.68238,cached,mid,0.16513520857912078,0.8820895522388059,0.5236123804089634,True
0.95,730.0,0.9500631266694172,SPY261030P00730000,2026-10-30,73,8.57,8.61,8.59,8.43,0.1699149171447754,mid,83.0,1621.0,2026-08-18,0.1794639386268434,8.630881102570749,0.17785777529778835,8.592141350315176,0.03873975225557302,0.03873975225557302,0.004508742428236703,0.017675979614303117,0.1277,8.59,8.61,861.0,1.120553906934751,77697.99951171875,0,0.0,2802.8051040364494,3.6073066509437193,29.081086326777083,29.866964792842808,1149.3212877341475,1.3348679300048172,3265.2673588565613,4.202511492415038,34.38356924167289,35.11068895180647,1711.0279396227443,1.9872566081564975,3557.823082719773,4.579040779786315,36.449375018241696,37.15360277768409,2040.5846178197853,2.3700169777233278,3843.604752883038,4.946851626859877,40.439192740968046,41.09920786841406,2609.6401404695184,3.0309409296974663,0.65354,cached,mid,0.3886933314583129,0.7052238805970148,0.5469586060276639,True
0.975,749.0,0.9747907970895802,SPY261030P00749000,2026-10-30,73,12.23,12.27,12.25,12.1,0.1506280006408691,mid,5.0,215.0,2026-08-18,0.16149419227321724,12.40831956973775,0.20247370986611377,12.25371696542589,0.15460260431186157,0.15460260431186157,0.012616792500436885,0.3807264313621026,0.2101,12.25,12.27,1227.0,1.5968869266073629,78063.99951171875,0,0.0,2268.5789989421187,2.9060501807898858,42.598521047658856,43.500750181639496,1683.5473928284782,1.372084264733886,2560.8111050686175,3.2803995709753453,48.53980820127033,49.348652940612226,2415.484193410688,1.9686097745808377,2747.020354402444,3.518933659029434,50.932113176793216,51.703355971277965,2851.3873461371145,2.3238690677564096,2895.830000072938,3.7095588468257064,55.125986260711834,55.831310292307734,3557.4148932796184,2.8992786416296807,0.62454,cached,mid,0.6749024874559412,0.43208955223880585,0.5534960198473735,True
1.0,768.0,0.999518467509743,SPY261030P00768000,2026-10-30,73,18.0,18.06,18.03,17.73,0.1322871195983886,mid,224.0,74.0,2026-08-18,0.14524978203814248,18.32909248102104,0.22881874902333668,18.032533219425616,0.2965592615954229,0.2965592615954229,0.016445790393773033,0.4675354645181784,0.3167,18.03,18.06,1805.9999999999998,2.35043014625338,78642.99951171875,0,0.0,1576.4664259172555,2.0045858318035585,60.11093093581501,61.02696490167593,2375.6599658533414,1.315426337681806,1704.3235750112503,2.1671650186197255,65.75115677857642,66.53766557455226,3271.971723468055,1.8117229919535192,1783.8833100672323,2.26833071111614,68.13588067379753,68.86762539183243,3814.524390472326,2.1121397510920965,1819.2773876429676,2.313336722834273,71.80833181277542,72.45574039411444,4633.967505709589,2.565873480459352,0.59756,cached,mid,1.0,0.0,0.5,True
