risk_model,portfolio,put_cost_basis,initial_value,mean_loss,probability_of_loss,var_95_dollars,var_95_percent,var_95_reduction,cvar_95_dollars,cvar_95_percent,cvar_95_reduction,var_99_dollars,var_99_percent,var_99_reduction,cvar_99_dollars,cvar_99_percent,cvar_99_reduction
GBM Monte Carlo,SPY only,unhedged,76836.99951171875,-343.87754409249635,0.45638,3952.126391770597,5.143519940764788,0.0,4976.2952984793055,6.476431055484342,0.0,5598.407700539558,7.28608318403391,0.0,6453.244893352557,8.398616466495863,0.0
GBM Monte Carlo,SPY + put K=749,LSMC model price,78190.49068510707,-261.5115582761239,0.49904,2280.6532774543966,2.916791105249826,42.29300757679872,2587.1893515582506,3.3088286425743485,48.009730203332914,2784.410502248161,3.5610602745309374,50.26424206333155,2947.280554783701,3.7693593286850526,54.32870434190906
GBM Monte Carlo,SPY + put K=730,market ask,77697.99951171875,-267.60089039411747,0.4892,2802.8051040364494,3.6073066509437193,29.081086326777083,3265.2673588565613,4.202511492415038,34.38356924167289,3557.823082719773,4.579040779786315,36.449375018241696,3843.604752883038,4.946851626859877,40.439192740968046
GBM drift matched,SPY only,unhedged,76836.99951171875,-389.2735157855124,0.4498,3909.257228278072,5.087727596236828,0.0,4934.028526984271,6.421422697839418,0.0,5556.506840887868,7.231551044676622,0.0,6411.846828777662,8.344738692977934,0.0
GBM drift matched,SPY + put K=749,LSMC model price,78190.49068510707,-292.4932708214829,0.49198,2264.7171493939936,2.896409946465976,42.0678400742756,2574.7650205653927,3.2929388190369897,47.816170772342176,2774.070036282939,3.5478355641158745,50.075288023227316,2939.5511796735273,3.759474015212214,54.154376138864876
GBM drift matched,SPY + put K=730,market ask,77697.99951171875,-303.2323658112219,0.48304,2780.2728165100793,3.5783068212595954,28.87976783930592,3246.439448315603,4.178279323428347,34.20306691457537,3541.268502913221,4.557734465710551,36.268079850912855,3829.9857325971407,4.929323478939101,40.26704263415352
historical bootstrap,SPY only,unhedged,76836.99951171875,-401.78379893995265,0.43648,3886.357652497802,5.057924798202299,0.0,5079.961721084015,6.611348378211006,0.0,5836.18997304447,7.595546429626481,0.0,6852.327217479863,8.918004686576529,0.0
historical bootstrap,SPY + put K=749,LSMC model price,78190.49068510707,-296.91141232080224,0.4823,2256.12925113032,2.8854266437799,41.9474620489372,2604.842684915237,3.331405983120887,48.72318281249984,2840.4601886941255,3.6327437822757482,51.330230821592174,3008.320181214322,3.847424609892257,56.0978323752508
historical bootstrap,SPY + put K=730,market ask,77697.99951171875,-310.3807225548826,0.47214,2768.1720909848145,3.5627327709606047,28.7720704447857,3296.998460487646,4.243350512506281,35.09796645113109,3649.3873181452786,4.696887102730183,37.4696962401729,3957.51609998038,5.093459451788704,42.245663781423026
