spot_horizon,put_price_horizon,value_unhedged,value_protected,loss_unhedged,loss_protected
671.7696174265659,77.34126507882341,67176.9617426566,74911.08825053893,9660.037769062154,3279.402434568139
698.2795025653616,53.075154495978104,69827.95025653616,75135.46570613397,7009.049255182588,3055.0249789731024
703.8637463911822,48.4261840330281,70386.37463911822,75228.99304242103,6450.624872600529,2961.4976426860376
707.3192640662172,45.61479122424805,70731.92640662171,75293.40552904652,6105.073105097035,2897.0851560605515
710.5240437927314,43.093473818095106,71052.40437927314,75361.75176108265,5784.595132445611,2828.738924024423
712.3861615398878,41.674699953915535,71238.61615398878,75406.08614938034,5598.3833577299665,2784.4045357267314
714.1067897194445,40.38720307411179,71410.67897194445,75449.39927935562,5426.3205397743,2741.0914057514456
715.4128954346558,39.42491508960224,71541.28954346558,75483.78105242581,5295.70996825317,2706.7096326812607
716.434352042686,38.68140733644717,71643.4352042686,75511.57593791331,5193.564307450157,2678.9147471937613
717.9084945234996,37.62244595501723,71790.84945234995,75553.09404785167,5046.150059368796,2637.3966372553987
718.7559817730407,37.02117634449373,71875.59817730407,75577.71581175344,4961.401334414681,2612.774873353628
719.7364938200064,36.33240070573698,71973.64938200064,75606.88945257434,4863.3501297181065,2583.601232532732
720.7354122029898,35.638103152757445,72073.54122029898,75637.35153557472,4763.458291419767,2553.139149532348
721.4093570267142,35.17301056330298,72140.93570267143,75658.23675900172,4696.063809047322,2532.253926105346
722.3056090690466,34.55857859387174,72230.56090690466,75686.41876629184,4606.438604814088,2504.071918815229
723.0042529466173,34.08307448457214,72300.42529466172,75708.73274311893,4536.57421705703,2481.7579419881367
723.6394364617341,33.65356113922951,72363.94364617341,75729.29976009637,4473.055865545335,2461.1909250106983
724.3535798214305,33.174017103135455,72435.35798214305,75752.75969245659,4401.641529575703,2437.730992650482
725.0357629015988,32.719433140961264,72503.57629015988,75775.519604256,4333.423221558871,2414.9710808510717
725.6245088971093,32.32999551813982,72562.45088971093,75795.45044152491,4274.548622007816,2395.0402435821597
726.3037741743265,31.88415287757773,72630.37741743264,75818.79270519041,4206.622094286111,2371.6979799166584
726.8887669438244,31.503291270997828,72688.87669438244,75839.20582148223,4148.122817336305,2351.284863624838
727.3605645972888,31.19829692159672,72736.05645972888,75855.88615188855,4100.943051989874,2334.6045332185167
727.8438183785688,30.88797091130088,72784.38183785688,75873.17892898698,4052.617673861867,2317.3117561200925
728.3131717641144,30.588638203788012,72831.31717641144,75890.18099679024,4005.6823353073123,2300.3096883168328
728.8490565615684,30.2494377668106,72884.90565615684,75909.8494328379,3952.093855561907,2280.641252269168
729.3698633100043,29.92247581057174,72936.98633100043,75929.2339120576,3900.0131807183207,2261.256773049463
729.8483666417641,29.62447956958581,72984.8366641764,75947.28462113498,3852.1628475423495,2243.2060639720876
730.2705621451883,29.363313423143072,73027.05621451883,75963.38755683314,3809.9432971999195,2227.1031282739277
730.721283031264,29.085821795329984,73072.1283031264,75980.7104826594,3764.871208592347,2209.7802024476696
731.204687497192,28.78973440775975,73120.4687497192,75999.44219049517,3716.5307619995438,2191.048494611896
731.6709500503439,28.505680306420473,73167.09500503438,76017.66303567644,3669.9045066843682,2172.8276494306338
731.9847986478868,28.31534567871957,73198.47986478868,76030.01443266064,3638.5196469300718,2160.4762524464313
732.4177766142408,28.05393266497655,73241.77766142407,76047.17092792173,3595.221850294678,2143.319757185338
732.8390455935618,27.800914135057397,73283.90455935618,76063.99597286191,3553.094952362575,2126.494712245156
733.2277147350374,27.56865800235667,73322.77147350373,76079.6372737394,3514.22803821502,2110.8534113676724
733.611434623564,27.340493985810348,73361.1434623564,76095.19286093743,3475.8560493623518,2095.29782416964
733.9308517143165,27.151439589366525,73393.08517143165,76108.2291303683,3443.9143402870977,2082.2615547387686
734.2776416216402,26.947098041200398,73427.76416216402,76122.47396628406,3409.2353495547286,2068.0167188230116
734.6290833245276,26.74100131513121,73462.90833245276,76137.00846396587,3374.09117926599,2053.4822211411956
734.9882139828328,26.531436909306958,73498.82139828328,76151.96508921398,3338.178113435468,2038.5255958930939
735.2795133520792,26.362238823381865,73527.95133520792,76164.17521754612,3309.048176510827,2026.3154675609549
735.5808647882994,26.187951819452987,73558.08647882994,76176.88166077524,3278.913032888813,2013.6090243318322
735.9058320876904,26.000872135283043,73590.58320876905,76190.67042229735,3246.4163029496995,1999.8202628097206
