spot,moneyness,american_put_price,std_error,intrinsic_value,binomial_price,bermudan_price,lsmc_minus_binomial,lsmc_minus_bermudan,discretisation_error
461.02199707031247,0.6155166850070928,287.97800292968753,0.010096938907090163,287.97800292968753,287.97800292968753,287.97800292968753,0.0,0.0,0.0
470.6266220092773,0.6283399492780738,278.3733779907227,0.010306390633672082,278.3733779907227,278.3733779907227,278.3733779907227,0.0,0.0,0.0
480.2312469482422,0.641163213549055,268.7687530517578,0.01051870141667432,268.7687530517578,268.7687530517578,268.7687530517578,0.0,0.0,0.0
489.835871887207,0.653986477820036,259.164128112793,0.010730058415090067,259.164128112793,259.164128112793,259.164128112793,0.0,0.0,0.0
499.4404968261719,0.6668097420910173,249.5595031738281,0.010941121659039117,249.5595031738281,249.5595031738281,249.5595031738281,0.0,0.0,0.0
509.0451217651367,0.6796330063619982,239.95487823486332,0.011150585995178847,239.95487823486332,239.95487823486332,239.95487823486332,0.0,0.0,0.0
518.6497467041015,0.6924562706329793,230.35025329589848,0.011363302848544818,230.35025329589848,230.35025329589848,230.35025329589848,0.0,0.0,0.0
528.2543716430664,0.7052795349039604,220.7456283569336,0.011572054415711509,220.7456283569336,220.7456283569336,220.7456283569336,0.0,0.0,0.0
537.8589965820312,0.7181027991749415,211.14100341796882,0.011786110759796518,211.14100341796882,211.14100341796882,211.14100341796882,0.0,0.0,0.0
547.4636215209961,0.7309260634459227,201.53637847900393,0.01201893758803341,201.53637847900393,201.53637847900393,201.53637847900393,0.0,0.0,0.0
557.068246459961,0.7437493277169038,191.93175354003904,0.012209999855992361,191.93175354003904,191.93175354003904,191.93175354003904,0.0,0.0,0.0
566.6728713989257,0.7565725919878848,182.32712860107426,0.012420907522387281,182.32712860107426,182.32712860107426,182.32712860107426,0.0,0.0,0.0
576.2774963378906,0.769395856258866,172.72250366210938,0.012634999086505307,172.72250366210938,172.72250366210938,172.72250366210938,0.0,0.0,0.0
585.8821212768554,0.782219120529847,163.1178787231446,0.012870060344115839,163.1178787231446,163.1178787231446,163.1178787231446,0.0,0.0,0.0
595.4867462158203,0.7950423848008281,153.5132537841797,0.013047509853498554,153.5132537841797,153.5132537841797,153.5132537841797,0.0,0.0,0.0
