spot,moneyness,interpolated,direct_lsmc,binomial,interp_minus_lsmc,interp_minus_binomial
485.13553957298075,0.6477110007649943,263.86446042701925,263.86446042701925,263.86446042701925,0.0,0.0
499.1480925140428,0.6664193491509249,249.8519074859572,249.8519074859572,249.8519074859572,0.0,0.0
605.91630608738,0.8089670308242723,143.08369391262,143.08369391262,143.08369391262,0.0,0.0
628.9228334636621,0.8396833557592284,120.07716653633793,120.07716653633793,120.07716653633793,0.0,0.0
637.6812779071633,0.8513768730402715,111.31872209283665,111.31872209283665,111.31872209283665,0.0,0.0
637.7395379515305,0.8514546568111221,111.26046204846955,111.26046204846955,111.26046204846955,0.0,0.0
721.1483069605833,0.9628148290528482,35.35286159765868,35.340013333581076,35.40058787362271,0.012848264077604199,-0.04772627596403112
722.3413080435896,0.9644076208859674,34.53420610464653,34.522335208676125,34.582192744423885,0.011870895970403694,-0.04798663977735629
739.473217186292,0.9872806638001228,24.009713087256312,24.013450739306716,24.066731163567663,-0.0037376520504039945,-0.05701807631135125
819.7938182593826,1.0945177813876938,2.1205134682922853,2.121231599146775,2.1193786073453107,-0.0007181308544899068,0.0011348609469745696
858.2430322278562,1.1458518454310498,0.4318014237309934,0.43211871307191885,0.42680148693052267,-0.0003172893409254529,0.004999936800470728
916.9546683980695,1.2242385425875428,0.023075609677788496,0.02310623443642422,0.022132376308024494,-3.0624758635723615e-05,0.0009432333697640023
968.5421067595723,1.2931136271823396,0.001140942558449694,0.0011466997076206966,0.0010366538200874162,-5.757149171002488e-06,0.00010428873836227791
999.6343665500902,1.3346253224967828,0.0001662180965293612,0.00016451308130428403,0.0001362696304830393,1.7050152250771785e-06,2.9948466046321914e-05
1037.0548419751765,1.384585903838687,7.561048920095772e-09,0.0,1.0057645756690285e-05,7.561048920095772e-09,-1.0050084707770189e-05
